ID_0;ISO;NAME_0;ID_1;NAME_1;ID_2;NAME_2;TYPE_2;ENGTYPE_2;NL_NAME_2;VARNAME_2;risk;aver_sero
163;NGA;Nigeria;20;Kano;370;Ajingi;Local Authority;Local Authority;NA;NA;44.48667254;34.39
163;NGA;Nigeria;20;Kano;371;Albasu;Local Authority;Local Authority;NA;NA;26.21547569;9.43
163;NGA;Nigeria;20;Kano;372;Bagwai;Local Authority;Local Authority;NA;NA;20.89119063;18.68
163;NGA;Nigeria;20;Kano;373;Bebeji;Local Authority;Local Authority;NA;NA;27.55334345;10.51
163;NGA;Nigeria;20;Kano;374;Bichi;Local Authority;Local Authority;NA;NA;19.15385199;17
163;NGA;Nigeria;20;Kano;375;Bunkure;Local Authority;Local Authority;NA;NA;27.21195409;14.65
163;NGA;Nigeria;20;Kano;376;Dala;Local Authority;Local Authority;NA;NA;17.47974516;
163;NGA;Nigeria;20;Kano;377;Dambatta;Local Authority;Local Authority;NA;NA;28.14086605;12
163;NGA;Nigeria;20;Kano;378;DawakinK;Local Authority;Local Authority;NA;Dawakin Kudu;29.36589835;6
163;NGA;Nigeria;20;Kano;379;DawakinT;Local Authority;Local Authority;NA;Dawakin Tofa;21.12105204;12.05
163;NGA;Nigeria;20;Kano;380;Doguwa;Local Authority;Local Authority;NA;NA;39.81767537;
163;NGA;Nigeria;20;Kano;381;Fagge;Local Authority;Local Authority;NA;NA;16.57401617;
163;NGA;Nigeria;20;Kano;382;Gabasawa;Local Authority;Local Authority;NA;NA;28.75281791;26
163;NGA;Nigeria;20;Kano;383;Garko;Local Authority;Local Authority;NA;NA;24.76923604;11.74
163;NGA;Nigeria;20;Kano;384;Garum Mallam;Local Authority;Local Authority;NA;NA;29.08776237;
163;NGA;Nigeria;20;Kano;385;Gaya;Local Authority;Local Authority;NA;NA;35.78244765;12.23
163;NGA;Nigeria;20;Kano;386;Gezawa;Local Authority;Local Authority;NA;NA;23.65643692;
163;NGA;Nigeria;20;Kano;387;Gwale;Local Authority;Local Authority;NA;NA;14.73136478;
163;NGA;Nigeria;20;Kano;388;Gwarzo;Local Authority;Local Authority;NA;NA;68.92641399;
163;NGA;Nigeria;20;Kano;389;Kabo;Local Authority;Local Authority;NA;NA;28.74899057;7.58
163;NGA;Nigeria;20;Kano;390;Kano;Local Authority;Local Authority;NA;Kano Municipal;16.74216628;13.6
163;NGA;Nigeria;20;Kano;391;Karaye;Local Authority;Local Authority;NA;NA;26.14086859;
163;NGA;Nigeria;20;Kano;392;Kibiya;Local Authority;Local Authority;NA;NA;26.27280949;14.82
163;NGA;Nigeria;20;Kano;393;Kiru;Local Authority;Local Authority;NA;NA;25.3044502;27.5
163;NGA;Nigeria;20;Kano;394;Kumbotso;Local Authority;Local Authority;NA;NA;25.28471716;
163;NGA;Nigeria;20;Kano;395;Kunchi;Local Authority;Local Authority;NA;NA;22.4397378;
163;NGA;Nigeria;20;Kano;396;Kura;Local Authority;Local Authority;NA;NA;29.51638703;22.57
163;NGA;Nigeria;20;Kano;397;Madobi;Local Authority;Local Authority;NA;NA;28.12435346;20.53
163;NGA;Nigeria;20;Kano;398;Makoda;Local Authority;Local Authority;NA;NA;26.92807921;6.6
163;NGA;Nigeria;20;Kano;399;Minjibir;Local Authority;Local Authority;NA;NA;21.19835598;14.13
163;NGA;Nigeria;20;Kano;400;Nassaraw;Local Authority;Local Authority;NA;Nassarawa;17.14680288;
163;NGA;Nigeria;20;Kano;401;Rano;Local Authority;Local Authority;NA;NA;27.17326876;8.95
163;NGA;Nigeria;20;Kano;402;RiminGad;Local Authority;Local Authority;NA;Rimin Gado;26.639927;6.15
163;NGA;Nigeria;20;Kano;403;Rogo;Local Authority;Local Authority;NA;NA;18.3150755;
163;NGA;Nigeria;20;Kano;404;Shanono;Local Authority;Local Authority;NA;NA;28.9273276;
163;NGA;Nigeria;20;Kano;405;Sumaila;Local Authority;Local Authority;NA;NA;42.41559995;
163;NGA;Nigeria;20;Kano;406;Takai;Local Authority;Local Authority;NA;NA;45.65897091;15.13
163;NGA;Nigeria;20;Kano;407;Tarauni;Local Authority;Local Authority;NA;NA;18.81348624;
163;NGA;Nigeria;20;Kano;408;Tofa;Local Authority;Local Authority;NA;NA;25.18327163;20.1
163;NGA;Nigeria;20;Kano;409;Tsanyawa;Local Authority;Local Authority;NA;NA;24.3410231;
163;NGA;Nigeria;20;Kano;410;Tundun Wada;Local Authority;Local Authority;NA;NA;28.84696719;
163;NGA;Nigeria;20;Kano;411;Ungogo;Local Authority;Local Authority;NA;NA;19.95088176;8.65
163;NGA;Nigeria;20;Kano;412;Warawa;Local Authority;Local Authority;NA;NA;27.012696;10.6
163;NGA;Nigeria;20;Kano;413;Wudil;Local Authority;Local Authority;NA;NA;67.4965655;16.75
